,USC,JHU-CSSE,JHU-APL,JHU-IDD,Columbia,LANL,ESG,UCLA,IEM,Microsoft,UGA-CEID,BPagano,MIT-ORC,UVA,Ensemble,LNQ,UM,UCSB,OneQuietNight,Karlen,Covid19Sim,MIT-ISOLAT
2021-01-23,175.0,178.57142857142858,219.85714285714286,230.28571428571428,126.14285714285714,154.57142857142858,168.14285714285714,124.28571428571429,178.0,170.14285714285714,148.85714285714286,144.14285714285714,238.28571428571428,239.42857142857142,162.57142857142858,147.71428571428572,144.28571428571428,193.0,117.14285714285714,164.57142857142858,177.71428571428572,158.14285714285714
2021-01-24,175.12244897959184,180.46938775510205,224.0,240.0612244897959,121.48979591836735,154.9795918367347,167.14285714285714,125.77551020408164,180.69387755102042,165.71428571428572,149.10204081632654,144.73469387755102,247.40816326530611,228.3673469387755,162.42857142857144,148.44897959183675,142.3469387755102,195.9387755102041,118.3265306122449,165.8979591836735,178.42857142857144,159.0408163265306
2021-01-25,175.24489795918367,182.3673469387755,228.14285714285714,249.83673469387756,116.83673469387755,155.3877551020408,166.14285714285714,127.26530612244899,183.3877551020408,161.28571428571428,149.3469387755102,145.32653061224488,256.53061224489795,217.30612244897958,162.2857142857143,149.18367346938777,140.40816326530611,198.87755102040816,119.51020408163265,167.22448979591837,179.14285714285714,159.93877551020407
2021-01-26,175.3673469387755,184.26530612244898,232.28571428571428,259.61224489795916,112.18367346938776,155.79591836734693,165.14285714285714,128.75510204081633,186.08163265306123,156.85714285714286,149.59183673469389,145.91836734693877,265.6530612244898,206.24489795918367,162.14285714285717,149.9183673469388,138.46938775510205,201.81632653061226,120.6938775510204,168.55102040816328,179.85714285714286,160.83673469387753
2021-01-27,175.48979591836735,186.16326530612247,236.42857142857144,269.38775510204084,107.53061224489795,156.20408163265307,164.14285714285714,130.24489795918367,188.77551020408163,152.42857142857142,149.83673469387756,146.51020408163265,274.7755102040816,195.18367346938774,162.0,150.6530612244898,136.53061224489795,204.75510204081633,121.87755102040816,169.87755102040816,180.57142857142858,161.73469387755102
2021-01-28,175.6122448979592,188.06122448979593,240.57142857142858,279.16326530612247,102.87755102040816,156.6122448979592,163.14285714285714,131.73469387755102,191.46938775510205,148.0,150.08163265306123,147.10204081632654,283.8979591836735,184.12244897959184,161.85714285714286,151.3877551020408,134.59183673469389,207.69387755102042,123.06122448979592,171.20408163265307,181.2857142857143,162.6326530612245
2021-01-29,175.73469387755102,189.9591836734694,244.71428571428572,288.9387755102041,98.22448979591837,157.0204081632653,162.14285714285714,133.22448979591837,194.16326530612247,143.57142857142856,150.3265306122449,147.6938775510204,293.0204081632653,173.0612244897959,161.71428571428572,152.12244897959184,132.6530612244898,210.63265306122452,124.24489795918367,172.53061224489795,182.0,163.53061224489795
2021-01-30,175.85714285714286,191.85714285714286,248.85714285714286,298.7142857142857,93.57142857142857,157.42857142857142,161.14285714285714,134.71428571428572,196.85714285714286,139.14285714285714,150.57142857142858,148.28571428571428,302.14285714285717,162.0,161.57142857142858,152.85714285714286,130.71428571428572,213.57142857142858,125.42857142857143,173.85714285714286,182.71428571428572,164.42857142857142
2021-01-31,175.9591836734694,192.9591836734694,253.40816326530611,312.57142857142856,90.77551020408163,157.24489795918367,160.08163265306123,133.3265306122449,199.73469387755102,142.18367346938774,151.02040816326533,150.16326530612244,315.5510204081633,161.75510204081633,162.18367346938777,153.10204081632654,130.59183673469389,216.12244897959184,136.42857142857142,175.22448979591837,182.6326530612245,165.30612244897958
2021-02-01,176.06122448979593,194.06122448979593,257.9591836734694,326.42857142857144,87.9795918367347,157.0612244897959,159.0204081632653,131.9387755102041,202.6122448979592,145.22448979591837,151.46938775510205,152.0408163265306,328.9591836734694,161.51020408163265,162.79591836734696,153.3469387755102,130.46938775510205,218.67346938775512,147.42857142857142,176.59183673469389,182.55102040816328,166.18367346938774
2021-02-02,176.16326530612247,195.16326530612247,262.51020408163265,340.2857142857143,85.18367346938776,156.87755102040816,157.9591836734694,130.55102040816328,205.48979591836735,148.26530612244898,151.9183673469388,153.91836734693877,342.36734693877554,161.26530612244898,163.40816326530614,153.59183673469389,130.3469387755102,221.22448979591837,158.42857142857142,177.9591836734694,182.46938775510205,167.0612244897959
2021-02-03,176.26530612244898,196.26530612244898,267.0612244897959,354.14285714285717,82.38775510204081,156.6938775510204,156.89795918367346,129.16326530612244,208.3673469387755,151.30612244897958,152.3673469387755,155.79591836734693,355.7755102040816,161.0204081632653,164.0204081632653,153.83673469387756,130.22448979591837,223.77551020408163,169.42857142857142,179.32653061224488,182.3877551020408,167.9387755102041
2021-02-04,176.3673469387755,197.3673469387755,271.6122448979592,368.0,79.59183673469387,156.51020408163265,155.83673469387756,127.77551020408164,211.24489795918367,154.34693877551018,152.81632653061226,157.6734693877551,369.18367346938777,160.77551020408163,164.6326530612245,154.08163265306123,130.10204081632654,226.32653061224488,180.42857142857142,180.6938775510204,182.30612244897958,168.81632653061226
2021-02-05,176.46938775510205,198.46938775510205,276.16326530612247,381.8571428571429,76.79591836734694,156.32653061224488,154.77551020408163,126.38775510204081,214.12244897959184,157.3877551020408,153.26530612244898,159.55102040816325,382.59183673469386,160.53061224489795,165.24489795918367,154.3265306122449,129.9795918367347,228.87755102040816,191.42857142857142,182.0612244897959,182.22448979591837,169.69387755102042
2021-02-06,176.57142857142858,199.57142857142858,280.7142857142857,395.7142857142857,74.0,156.14285714285714,153.71428571428572,125.0,217.0,160.42857142857142,153.71428571428572,161.42857142857142,396.0,160.28571428571428,165.85714285714286,154.57142857142858,129.85714285714286,231.42857142857142,202.42857142857142,183.42857142857142,182.14285714285714,170.57142857142858
2021-02-07,176.6326530612245,200.14285714285717,285.51020408163265,408.16326530612247,72.73469387755102,155.71428571428572,152.73469387755102,124.14285714285714,220.0612244897959,161.55102040816325,153.0,164.87755102040816,415.7551020408163,163.6326530612245,167.89795918367346,153.9387755102041,129.6326530612245,233.6122448979592,211.93877551020407,184.85714285714283,182.28571428571428,171.40816326530614
2021-02-08,176.69387755102042,200.71428571428572,290.3061224489796,420.61224489795916,71.46938775510203,155.28571428571428,151.75510204081633,123.28571428571429,223.12244897959184,162.6734693877551,152.2857142857143,168.32653061224488,435.51020408163265,166.9795918367347,169.9387755102041,153.3061224489796,129.40816326530611,235.79591836734693,221.44897959183672,186.28571428571428,182.42857142857142,172.24489795918367
2021-02-09,176.75510204081633,201.2857142857143,295.1020408163265,433.0612244897959,70.20408163265306,154.85714285714286,150.77551020408163,122.42857142857143,226.18367346938774,163.79591836734693,151.57142857142858,171.77551020408163,455.265306122449,170.3265306122449,171.9795918367347,152.67346938775512,129.18367346938774,237.9795918367347,230.95918367346937,187.7142857142857,182.57142857142856,173.08163265306123
2021-02-10,176.81632653061226,201.85714285714286,299.8979591836735,445.51020408163265,68.93877551020408,154.42857142857142,149.79591836734696,121.57142857142857,229.24489795918367,164.91836734693877,150.85714285714286,175.22448979591837,475.0204081632653,173.6734693877551,174.0204081632653,152.0408163265306,128.9591836734694,240.16326530612244,240.46938775510205,189.14285714285714,182.71428571428572,173.91836734693877
2021-02-11,176.87755102040816,202.42857142857144,304.6938775510204,457.9591836734694,67.6734693877551,154.0,148.81632653061226,120.71428571428571,232.30612244897958,166.0408163265306,150.14285714285714,178.67346938775512,494.7755102040817,177.0204081632653,176.0612244897959,151.40816326530611,128.73469387755102,242.3469387755102,249.9795918367347,190.57142857142856,182.85714285714286,174.75510204081633
2021-02-12,176.9387755102041,203.0,309.48979591836735,470.4081632653061,66.40816326530611,153.57142857142856,147.83673469387756,119.85714285714286,235.36734693877548,167.16326530612244,149.42857142857144,182.12244897959184,514.530612244898,180.3673469387755,178.10204081632654,150.77551020408163,128.51020408163265,244.53061224489795,259.48979591836735,192.0,183.0,175.59183673469386
2021-02-13,177.0,203.57142857142858,314.2857142857143,482.85714285714283,65.14285714285714,153.14285714285714,146.85714285714286,119.0,238.42857142857142,168.28571428571428,148.71428571428572,185.57142857142858,534.2857142857143,183.71428571428572,180.14285714285714,150.14285714285714,128.28571428571428,246.71428571428572,269.0,193.42857142857142,183.14285714285714,176.42857142857142
2021-02-14,177.0,203.57142857142858,314.2857142857143,482.85714285714283,65.14285714285714,153.14285714285714,146.85714285714286,119.0,238.42857142857142,168.28571428571428,148.71428571428572,185.57142857142858,534.2857142857143,183.71428571428572,180.14285714285714,150.14285714285714,128.28571428571428,246.71428571428572,269.0,193.42857142857142,183.14285714285714,176.42857142857142
